V1	V2	V3				
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.324805102309505
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.637220069619263
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.674083923525998
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.577179426504512
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.829809567803203
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.609503456553399
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.341515854889164
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.82572294072102
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.296331582740482
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.836594726276382
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.725259510460479
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.795990162869465
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.827632161858874
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.718872861868895
